latitude,longitude
69.64646341,-141.0
69.64777057,-141.0
69.64809203,-140.99964391
69.64897398,-140.99866697
69.65007266,-140.99744996
69.65008039,-140.99744139
69.66011499,-140.98632601
69.669284,-140.97884501
69.67343286,-140.97398691
69.67614141,-140.97081535
69.67815979,-140.96844923
69.69151601,-140.95279196
69.69437547,-140.9485985
69.69955504,-140.9410011
69.70188933,-140.93757324
69.71434567,-140.9192813
69.72564278,-140.90266541
69.72786104,-140.89940277
69.72913357,-140.89753112
69.7350881,-140.88875931
69.74391877,-140.87575057
69.75870125,-140.85393954
69.77348101,-140.83209797
69.78405743,-140.81334241
69.79820499,-140.78821903
69.79959185,-140.7865675
69.81494252,-140.76827118
69.82830033,-140.75232566
69.82830037,-140.75232561
69.83029128,-140.74994815
69.84295107,-140.7348113
69.8456381,-140.73159851
69.860983,-140.71322199
69.86923819,-140.70257898
69.88440821,-140.68299708
69.89957604,-140.66338686
69.9147417,-140.64374824
69.9299051,-140.62408122
69.94506634,-140.6043857
69.96022534,-140.5846616
69.97538215,-140.56490891
69.99053673,-140.54512764
70.00568908,-140.52531751
70.01394722,-140.51450532
70.02083918,-140.50547862
70.03598707,-140.48561097
70.0511327,-140.46571429
70.05444423,-140.46135699
70.0662761,-140.44578866
70.08141726,-140.425834
70.09655612,-140.40585031
70.11169274,-140.38583732
70.12682711,-140.3657952
70.14195919,-140.34572379
70.15708899,-140.32562298
70.15897756,-140.3245125
70.17525602,-140.3149323
70.19153399,-140.30533705
70.20644075,-140.29840739
70.22283829,-140.29077298
70.23923547,-140.28312639
70.2556323,-140.2754677
70.27202877,-140.26779673
70.28842487,-140.26011349
70.30482062,-140.25241806
70.32121599,-140.24471026
70.33761104,-140.2369901
70.35400572,-140.22925766
70.37040003,-140.22151277
70.38679397,-140.21375551
70.40318755,-140.20598571
70.41958078,-140.19820345
70.43597363,-140.19040874
70.45236612,-140.18260139
70.46875825,-140.1747815
70.48515,-140.16694897
70.48848299,-140.16528096
70.49737956,-140.15777102
70.51335501,-140.14426833
70.5293294,-140.1307444
70.54530277,-140.11719915
70.56127511,-140.10363249
