longitude,latitude
3.4384970436641424,51.54206621628899
3.4845745662901777,51.34932723219168
4.288736810619049,51.339871547180245
5.901907450374765,51.801778854509635
7.242642601019128,53.214371141658745
7.183552557587689,53.3419578909884
7.075220811296646,53.34979694635473
6.997541340597337,53.44771299809841
6.843848380766815,53.47410848020695
6.563063165692313,53.46355225654352
6.078339215458442,53.421301103707066
5.685239914353787,53.3596094988269
5.422188502337093,53.23065055963832
5.366031459322045,53.09420316157332
5.374898357648533,52.932387471704146
5.326023501881508,52.89450159701872
5.3970840907502975,52.83990574289507
5.651631275035783,52.83913395728612
5.572797546860812,52.77429999958392
5.620601943008097,52.6286776500433
5.501747211222636,52.57688813088188
5.357031758843078,52.49908959044882
5.149018849844936,52.42745473861845
5.10638168174529,52.499876125984315
5.033536805236508,52.62644449039098
5.0813369031694435,52.63115537585844
5.131725320729572,52.61154653743125
5.213121995251186,52.63350784618865
5.3074446493886285,52.708718190148915
5.29322665906713,52.746277735090615
5.202785909598305,52.75957162981257
5.152397492036755,52.7525341908848
5.120109243132589,52.77911052405659
5.12011212949227,52.85173475784805
5.032240496315069,52.94603899597681
4.941799746846215,52.9211190892608
4.906915457766132,52.89462596457889
4.905623447058986,52.87825446910031
4.870739157978903,52.89228755801122
4.80097057981726,52.92423486231226
4.803554601230104,52.96938837865133
4.726033958828452,52.96316310936706
4.722157926708434,52.98883656741262
4.79838655840291,53.00205633603579
4.895287361406133,53.05178858612655
4.914667522006141,53.10611759576443
4.9004554042318205,53.155729851521414
4.855235029497322,53.18825677091965
4.797094547697242,53.17509408349872
4.707945808935619,53.01993546420039
4.710266391446936,52.95765874691568
4.636206704078461,52.75279272737728
4.5437916550411614,52.43387606413353
4.353032666448712,52.18018590559993
4.097416830520757,51.989280032228095
4.020732079741379,52.00138689580348
3.951912431607667,51.97353621487494
3.4384970436641424,51.54206621628899
