latitude,longitude
59.847675,-44.179434
59.780371,-44.105582
59.768753,-43.888641
59.796629,-43.699395
59.812879,-43.523996
59.88475,-43.450144
59.894013,-43.316287
59.951844,-43.145504
60.044165,-43.09473
60.122435,-43.007031
60.2074,-43.03011
60.362981,-43.076267
60.431384,-43.228587
60.481456,-42.997799
60.565492,-42.813169
60.68549,-42.720854
60.780265,-42.785474
60.832048,-42.762396
60.8815,-42.600844
60.955536,-42.716238
60.982415,-42.665465
61.101169,-42.623143
61.156886,-42.683148
61.18137,-42.535444
61.307939,-42.563138
61.400874,-42.369276
61.515555,-42.373892
61.670133,-42.279074
61.697537,-42.209323
61.739332,-42.289706
61.760826,-42.132072
61.778603,-42.114847
61.792422,-42.139901
61.802042,-42.091358
61.813879,-42.077265
61.829653,-42.09188
61.84414,-42.105785
61.853745,-42.089082
61.872206,-42.081252
61.865561,-42.213832
61.900246,-42.216963
61.968033,-42.113493
62.010687,-42.105142
62.020216,-42.27576
62.043503,-42.356679
62.09691,-42.259208
62.1528,-42.268403
62.221447,-42.226105
62.270262,-42.259208
62.295923,-42.246335
62.356566,-42.435759
62.342911,-42.204036
62.370446,-42.13297
62.442853,-42.131131
62.453912,-42.274579
62.483664,-42.112741
62.585449,-42.131131
62.598993,-42.326072
62.622682,-42.13297
62.669292,-42.020101
62.69883,-41.907918
62.757818,-41.823321
62.846078,-41.714816
62.851953,-41.565851
62.958803,-41.433605
63.013933,-41.472226
63.04396,-41.314066
63.113542,-41.175265
63.187466,-41.120093
63.300892,-40.984002
63.460749,-40.781704
63.538645,-40.653273
63.674746,-40.507973
63.949558,-40.60657
64.063273,-40.513162
64.117935,-40.586755
64.169189,-40.769569
64.166344,-40.930619
64.140252,-41.026379
64.18341,-41.372419
64.323799,-41.403976
64.295023,-41.015497
64.236908,-41.074258
64.150692,-41.014409
64.169663,-40.937148
64.172982,-40.773921
64.198579,-40.60767
64.256775,-40.689284
64.2922,-40.656638
64.310603,-40.664256
64.35538,-40.627258
64.309188,-40.535851
64.312018,-40.450973
64.295032,-40.30951
64.308847,-40.200406
64.343263,-40.173202
64.429713,-40.432065
64.477911,-40.576255
64.412663,-40.166012
64.484005,-40.154042
64.535518,-40.269389
64.554488,-40.391952
64.565706,-40.30925
64.619398,-40.339719
64.693402,-40.51096
64.703938,-40.385455
64.787124,-40.475101
64.816703,-40.443725
64.932485,-40.697758
64.951469,-40.85688
64.896378,-40.881532
64.842126,-40.841192
64.943877,-40.99359
64.968543,-40.946526
65.104746,-41.076513
65.054697,-40.854638
65.016637,-40.653629
65.013797,-40.494507
64.971163,-40.312973
64.999593,-40.156093
65.084635,-39.913672
65.177042,-39.759358
65.286089,-39.604268
65.270523,-39.428802
65.372645,-39.386265
65.531694,-39.593634
65.441243,-39.221433
65.542703,-38.53552
65.63061,-38.009121
66.134148,-37.843802
66.272715,-37.467981
65.963167,-37.830843
65.625766,-37.960436
65.540053,-37.701249
65.620417,-37.280071
65.502464,-37.234713
65.521265,-37.007924
65.550782,-36.878331
65.60704,-36.670981
65.729848,-36.586746
65.745823,-36.372916
65.737837,-36.126689
65.806971,-36.074851
65.870623,-36.087811
65.934117,-35.880461
66.021166,-35.556478
66.142012,-35.50464
66.215289,-35.349128
66.246629,-35.038104
66.330011,-34.71412
66.462331,-34.539169
66.552085,-34.335977
66.655005,-34.057351
66.851928,-33.778725
66.96882,-33.759286
67.04728,-33.513059
67.13556,-33.389945
67.273637,-33.338108
67.307579,-33.291485
67.521596,-33.259086
67.662388,-33.006379
67.743517,-32.643518
67.84148,-32.144583
68.154144,-31.965115
68.077529,-31.586469
68.042719,-31.010332
68.099283,-30.285495
68.207978,-29.409199
68.352107,-28.662725
68.503258,-27.515968
68.732026,-26.185297
69.028277,-25.222453
69.429269,-24.059581
69.659897,-23.215741
69.798577,-22.826277
69.928927,-22.544997
70.15051,-21.949981
70.168169,-22.214629
70.122943,-22.53422
70.119924,-23.368708
70.354059,-24.86901
70.416641,-25.206356
70.413665,-25.339518
70.213296,-26.307169
70.264322,-26.511352
70.33913,-26.280536
70.42854,-26.253904
70.553058,-25.783395
70.650359,-25.224111
70.959743,-25.357273
71.003137,-25.552579
71.304241,-25.304008
71.215826,-24.664826
71.026242,-24.336358
70.709101,-24.158808
70.558968,-23.901359
70.407712,-22.951464
70.416641,-22.418813
70.395802,-21.903916
70.434487,-21.56657
70.544189,-21.415652
70.656241,-21.35351
71.488574,-21.62298
71.603787,-21.676245
71.513924,-22.324304
71.693229,-21.83604
71.78225,-22.066856
71.834908,-22.643895
71.917754,-22.448589
72.041338,-22.981241
72.473123,-24.539421
72.075824,-22.28453
72.141279,-22.035959
72.328177,-22.018204
72.419574,-22.666263
72.360487,-21.867286
72.494499,-21.902796
72.656657,-22.541978
72.661949,-21.858408
72.819981,-21.964939
72.932378,-21.787388
73.481128,-24.2739
73.216579,-22.232069
73.36462,-21.61952
73.43057,-21.486357
73.425506,-20.509829
73.496266,-20.261258
73.766458,-20.394421
73.813545,-20.190238
73.90978,-20.261258
74.113374,-21.947814
74.067136,-21.051184
74.15948,-20.074656
74.251302,-20.181186
74.227188,-19.568637
74.258529,-19.213536
74.471464,-18.929455
74.569055,-18.640685
74.693753,-18.756093
74.703124,-19.492928
74.663258,-19.972314
74.859259,-19.634968
74.997761,-19.901294
75.103106,-20.496088
75.28685,-20.398435
75.100824,-19.919049
75.124202,-19.527445
75.360853,-19.254787
75.998377,-19.801904
76.269423,-19.751412
76.752834,-20.522558
76.775955,-18.088839
77.290262,-18.129233
77.360788,-19.493146
77.512352,-19.371965
77.568998,-18.766059
77.735278,-19.038717
78.142779,-20.948748
78.909132,-20.450558
79.089231,-19.009297
79.439189,-19.456051
79.674275,-19.075086
79.656978,-17.914993
79.987645,-17.028938
80.14654,-16.809539
80.478401,-15.359232
80.859539,-13.485334
81.338689,-11.190484
81.658433,-11.666735
81.888621,-15.630702
81.791385,-17.267341
81.729569,-19.581553
82.18641,-20.856515
82.635549,-19.072373
83.418996,-25.412426
80.161586,-67.74091
79.785412,-65.155297
79.23969,-66.369052
78.458419,-73.047581
77.845845,-73.226859
77.368669,-69.825665
76.96918,-71.669702
76.438701,-69.751508
76.024301,-68.733555
75.788754,-66.927671
76.038455,-63.163175
75.611014,-59.270637
75.014989,-57.868615
74.667874,-56.651537
73.93127,-56.671602
73.497898,-55.568798
73.257608,-55.497218
72.844588,-55.194522
71.455257,-55.605976
71.275736,-54.330961
71.423631,-53.376268
70.736561,-52.314902
70.860943,-54.426348
70.592397,-54.745685
70.445309,-54.356103
70.191938,-54.955319
69.721921,-55.009681
69.438711,-54.943919
69.168864,-53.737548
69.559561,-51.48323
69.195529,-51.261062
68.677745,-51.496904
68.86697,-52.48571
68.748684,-53.194152
67.17875,-54.091369
67.06773,-53.952582
67.018586,-53.852015
66.951246,-53.828896
66.909121,-53.706365
66.873734,-53.647412
66.811841,-53.607739
66.790717,-53.384301
66.734297,-53.536239
66.64411,-53.500489
66.567814,-53.540708
66.505539,-53.634552
66.38052,-53.710521
66.191815,-53.652427
66.0362,-53.692646
65.983509,-53.518364
65.900385,-53.466911
65.81448,-53.39541
65.79983,-53.25241
65.741143,-53.274754
65.652863,-53.25241
65.558735,-53.265816
65.508764,-53.082597
65.427124,-53.104941
65.391792,-52.903846
65.471687,-52.756377
65.362002,-52.532938
65.272428,-52.617845
65.170426,-52.538736
65.187309,-52.391267
65.134748,-52.395735
65.024138,-52.254306
64.826601,-52.231367
64.576853,-52.188688
64.182819,-52.165723
64.089718,-52.051568
64.174172,-51.793478
64.007183,-51.679323
63.854504,-51.490719
63.736154,-51.565168
63.605125,-51.537053
63.441379,-51.373266
63.142448,-51.070382
62.982809,-50.74777
62.826827,-50.494643
62.585581,-50.335819
62.276,-50.130413
62.229786,-49.912029
62.016283,-49.738315
61.854434,-49.647621
61.694816,-49.488797
61.579283,-49.275377
61.446716,-49.086773
61.036001,-48.367101
60.828624,-48.272799
60.67342,-48.044488
60.75839,-47.463787
60.751116,-46.937681
60.67342,-46.158449
60.344564,-45.411026
60.120325,-45.411026
59.834746,-44.219843
