longitude,latitude,harbor,country_code
-22.089100554672623,64.31177793416566,akranes,is
-22.075443438073197,64.31260243476623,akranes,is
-22.078410722459974,64.31725215629879,akranes,is
-22.09115482847844,64.31484495160984,akranes,is
-22.089100554672623,64.31177793416566,akranes,is
-18.116405479465183,65.70787046398618,akureyri,is
-18.118790972823035,65.69681182127289,akureyri,is
-18.078422406993013,65.65420101620401,akureyri,is
-18.03518088086207,65.66150531918848,akureyri,is
-18.058316169504707,65.69405831773292,akureyri,is
-18.116405479465183,65.70787046398618,akureyri,is
-23.24695832159477,66.15969382929498,bolungarvik,is
-23.25236615926488,66.15326931399082,bolungarvik,is
-23.24298578532452,66.15246351562342,bolungarvik,is
-23.23900814295249,66.15804071935653,bolungarvik,is
-23.24695832159477,66.15969382929498,bolungarvik,is
-18.52948394839794,65.98147432881586,dalvik,is
-18.542990323199376,65.96762966274412,dalvik,is
-18.516885881196288,65.96638225766338,dalvik,is
-18.5169595029831,65.98005829121772,dalvik,is
-18.52948394839794,65.98147432881586,dalvik,is
-14.270975256492136,64.66053833778741,djupivogur,is
-14.2954855549508,64.66442731495823,djupivogur,is
-14.299377143286762,64.65730945971461,djupivogur,is
-14.273026333845536,64.65423928914092,djupivogur,is
-14.270975256492136,64.66053833778741,djupivogur,is
-13.9939942470954,65.06403455594108,eskifjordur,is
-14.022450508741455,65.07719088339749,eskifjordur,is
-14.034226932311412,65.07734831153348,eskifjordur,is
-14.038363023151732,65.07489283269302,eskifjordur,is
-14.027324319538325,65.07065411878123,eskifjordur,is
-13.997194618029653,65.0626105994248,eskifjordur,is
-13.9939942470954,65.06403455594108,eskifjordur,is
-14.041465379021249,64.94013542721424,faskrudsfjordur,is
-14.06191352879597,64.92528097743266,faskrudsfjordur,is
-14.0044069162268,64.91024040872509,faskrudsfjordur,is
-13.97279589724704,64.9256673043412,faskrudsfjordur,is
-14.041465379021249,64.94013542721424,faskrudsfjordur,is
-18.18805110876127,65.95716875820756,greinivik,is
-18.19900656280444,65.94300418953435,greinivik,is
-18.185634754724333,65.94178228018222,greinivik,is
-18.174425948738275,65.95475124003207,greinivik,is
-18.18805110876127,65.95716875820756,greinivik,is
-22.435940415224422,63.83499201295496,grindavik,is
-22.42910698681084,63.833780010576135,grindavik,is
-22.41922847156837,63.83433681366972,grindavik,is
-22.414785696813794,63.84013305776739,grindavik,is
-22.42020806326636,63.84219443737706,grindavik,is
-22.432971892686737,63.8397076591429,grindavik,is
-22.435940415224422,63.83499201295496,grindavik,is
-23.275468177313517,64.92634783857653,grundarfjordur,is
-23.27122012828511,64.91893514361485,grundarfjordur,is
-23.23853350155716,64.92116626769197,grundarfjordur,is
-23.25178880330907,64.92885644991054,grundarfjordur,is
-23.26452933606143,64.92907457893176,grundarfjordur,is
-23.275468177313517,64.92634783857653,grundarfjordur,is
-21.957086611160943,64.0646122659958,hafnarfjordur,is
-21.972486046255625,64.06915453057351,hafnarfjordur,is
-21.98559260232898,64.07058807525695,hafnarfjordur,is
-21.99061349215708,64.06872815441747,hafnarfjordur,is
-21.99075284441099,64.0649160551749,hafnarfjordur,is
-21.98615120238324,64.05948968772856,hafnarfjordur,is
-21.96056852727301,64.06125820926039,hafnarfjordur,is
-21.957086611160943,64.0646122659958,hafnarfjordur,is
-15.217657876042892,64.26569936490407,hornafjordur,is
-15.224970379975105,64.2488249150353,hornafjordur,is
-15.20876985906608,64.24016553325134,hornafjordur,is
-15.184110659097913,64.24764141858077,hornafjordur,is
-15.190992296298674,64.26501503877915,hornafjordur,is
-15.217657876042892,64.26569936490407,hornafjordur,is
-17.363429735971096,66.05029778550411,husavik,is
-17.36243848816406,66.04237525875163,husavik,is
-17.341926056615677,66.04220917255464,husavik,is
-17.34280848759687,66.04964729884668,husavik,is
-17.363429735971096,66.05029778550411,husavik,is
-20.947828319452757,65.39725476356992,hvammstangi,is
-20.949745001842278,65.39357935077732,hvammstangi,is
-20.9411715287886,65.39194181316415,hvammstangi,is
-20.94076823837736,65.39496589799623,hvammstangi,is
-20.947828319452757,65.39725476356992,hvammstangi,is
-23.11719499604632,66.08969473038016,isafjordur,is
-23.18551849735499,66.0660428928768,isafjordur,is
-23.16356216021381,66.04148709957886,isafjordur,is
-23.061661244663867,66.07489926046833,isafjordur,is
-23.11719499604632,66.08969473038016,isafjordur,is
-22.514260783526,63.981515970400665,keflavik,is
-22.53590874126129,63.98791682693505,keflavik,is
-22.541015658784488,64.00199254749191,keflavik,is
-22.548798155956348,64.0246921344839,keflavik,is
-22.561443432007025,64.02606843626012,keflavik,is
-22.56872650315043,64.01901703549254,keflavik,is
-22.54490897737591,63.97117057702965,keflavik,is
-22.525451197021653,63.97148666055017,keflavik,is
-22.50890917039069,63.9790617836122,keflavik,is
-22.514260783526,63.981515970400665,keflavik,is
-13.651557767921702,65.15249656221499,neskaupstadur,is
-13.732903499273815,65.14899885080254,neskaupstadur,is
-13.765276203739177,65.13010535540585,neskaupstadur,is
-13.686933339180284,65.13679756888831,neskaupstadur,is
-13.651557767921702,65.15249656221499,neskaupstadur,is
-18.632937688009207,66.07837636247865,olafsjordur,is
-18.661288745408,66.07609799286857,olafsjordur,is
-18.66878487480324,66.06722316322706,olafsjordur,is
-18.64767109366585,66.06454516603088,olafsjordur,is
-18.632937688009207,66.07837636247865,olafsjordur,is
-15.933178374776844,66.45490235191656,raufarhofn,is
-15.935916226028011,66.45890042282335,raufarhofn,is
-15.952642228508608,66.45885863767552,raufarhofn,is
-15.944132117702765,66.45026763668363,raufarhofn,is
