longitude,latitude,harbor,country_code
-6.579018916244252,62.25530371421098,anir,fo
-6.583177744535163,62.25535850859925,anir,fo
-6.5844724740971685,62.25011606101347,anir,fo
-6.578979682015472,62.25002472109284,anir,fo
-6.579018916244252,62.25530371421098,anir,fo
-7.097836666002337,62.29840772926161,eidi,fo
-7.09559898980055,62.295626268123385,eidi,fo
-7.08991664881151,62.29470565671696,eidi,fo
-7.085483142083206,62.296586899983566,eidi,fo
-7.089916960570349,62.29926815200946,eidi,fo
-7.097836666002337,62.29840772926161,eidi,fo
-6.815825215335678,62.241749540608055,fuglafjordur,fo
-6.795765223081958,62.232983040353616,fuglafjordur,fo
-6.7889083530022845,62.23388359287856,fuglafjordur,fo
-6.81473103393995,62.24467114115902,fuglafjordur,fo
-6.815825215335678,62.241749540608055,fuglafjordur,fo
-6.929111003413254,62.15107457170487,hosvik,fo
-6.939179842816628,62.15107457170487,hosvik,fo
-6.939061848605093,62.14973328789949,hosvik,fo
-6.92899300920098,62.15008239488489,hosvik,fo
-6.929111003413254,62.15107457170487,hosvik,fo
-6.757038187555509,62.12923122340686,hulki,fo
-6.756837895961184,62.124830195631546,hulki,fo
-6.753599848512323,62.12476776510783,hulki,fo
-6.754167341363825,62.129168801949874,hulki,fo
-6.757038187555509,62.12923122340686,hulki,fo
-6.934535025141031,61.60542940181136,hvalba,fo
-6.956822103211863,61.6030528733088,hvalba,fo
-6.944494601541805,61.59020460891082,hvalba,fo
-6.922992959171722,61.59387381251861,hvalba,fo
-6.934535025141031,61.60542940181136,hvalba,fo
-7.023454275294938,62.18457241433521,hvalvik,fo
-7.009488139128393,62.18277919747166,hvalvik,fo
-7.0083983790158015,62.18462594156159,hvalvik,fo
-7.022794683647817,62.18592394778696,hvalvik,fo
-7.023454275294938,62.18457241433521,hvalvik,fo
-6.602644698115341,62.23869253048062,klaksvik,fo
-6.595352321011205,62.22598030724296,klaksvik,fo
-6.582651028439301,62.22706049195392,klaksvik,fo
-6.591923454955207,62.23943484875036,klaksvik,fo
-6.602644698115341,62.23869253048062,klaksvik,fo
-6.923003556539271,62.10581211402834,kollafjordur,fo
-6.946137333132754,62.10237873362314,kollafjordur,fo
-6.945018678558341,62.09800270386859,kollafjordur,fo
-6.92756766720197,62.09592962733791,kollafjordur,fo
-6.923003556539271,62.10581211402834,kollafjordur,fo
-6.699332955670371,62.2109158264831,leirvik,fo
-6.70228641348379,62.21401381742277,leirvik,fo
-6.715946155870256,62.21423285525469,leirvik,fo
-6.706179607874134,62.209992626294905,leirvik,fo
-6.699332955670371,62.2109158264831,leirvik,fo
-7.164827621146628,62.04629146955952,midvagur,fo
-7.189609208598711,62.04965852575984,midvagur,fo
-7.19287504010984,62.0451143148922,midvagur,fo
-7.168219603850588,62.04075041091807,midvagur,fo
-7.164827621146628,62.04629146955952,midvagur,fo
-6.731521851081624,62.194957397800295,nordragota,fo
-6.744133779948328,62.20011233845895,nordragota,fo
-6.746858369373996,62.19335728861415,nordragota,fo
-6.740747449254428,62.19156791083918,nordragota,fo
-6.731521851081624,62.194957397800295,nordragota,fo
-6.978399246304264,62.18769877355047,oyri,fo
-6.982948719005719,62.18970560178758,oyri,fo
-6.985492287834404,62.189146018850295,oyri,fo
-6.981707953723344,62.18661811853539,oyri,fo
-6.978399246304264,62.18769877355047,oyri,fo
-6.7234956079742005,62.11899136094067,runavik,fo
-6.726199882977738,62.11795438029665,runavik,fo
-6.731825238472055,62.11061249945385,runavik,fo
-6.721487280908036,62.10912821796663,runavik,fo
-6.7234956079742005,62.11899136094067,runavik,fo
-6.8106122479331646,61.83143713904167,sandur,fo
-6.813609780864908,61.82692488528252,sandur,fo
-6.806597115872762,61.82588337407043,sandur,fo
-6.804222024451264,61.83092996886867,sandur,fo
-6.8106122479331646,61.83143713904167,sandur,fo
-6.788828488616133,62.16404201209494,skala,fo
-6.785577804101791,62.15877392684061,skala,fo
-6.778550575774602,62.159845225852735,skala,fo
-6.784334915421624,62.16480103713332,skala,fo
-6.788828488616133,62.16404201209494,skala,fo
-6.8811988961669215,61.9062551386366,skopun,fo
-6.884039437264704,61.90493656453015,skopun,fo
-6.878378742877231,61.90141059659959,skopun,fo
-6.875578735273422,61.90403837804527,skopun,fo
-6.75646944622028,62.15989524126931,soldarfjordur,fo
-6.758659643477358,62.15939195465265,soldarfjordur,fo
-6.750672306897712,62.15219845103951,soldarfjordur,fo
-6.748079076697479,62.15248262231586,soldarfjordur,fo
-6.75646944622028,62.15989524126931,soldarfjordur,fo
-7.335432580890256,62.07342975255659,sorvagur,fo
-7.324245668116902,62.06882058067879,sorvagur,fo
-7.317282859335933,62.06995119701182,sorvagur,fo
-7.333366947618373,62.074712369375874,sorvagur,fo
-7.335432580890256,62.07342975255659,sorvagur,fo
-6.851905645981958,62.0506794772229,sund,fo
-6.852186106028796,62.05011862324773,sund,fo
-6.841322953555618,62.048637568582365,sund,fo
-6.84085552014443,62.04983819239885,sund,fo
-6.851905645981958,62.0506794772229,sund,fo
-6.761888626939509,62.00780648201555,torshavn,fo
-6.770319214663289,62.011418590997295,torshavn,fo
-6.776419264054283,62.00776839623725,torshavn,fo
-6.77390299368011,62.00384931780877,torshavn,fo
-6.769289831328251,62.00248915447864,torshavn,fo
-6.766544809102356,62.00034140444862,torshavn,fo
-6.762384255785719,61.998983382439405,torshavn,fo
-6.7579998454527015,62.00224088927578,torshavn,fo
-6.756284206561787,62.00510434374806,torshavn,fo
-6.761888626939509,62.00780648201555,torshavn,fo
-6.816083830302148,61.556124893928654,tvoroyri,fo
-6.816891519423166,61.55472595167728,tvoroyri,fo
-6.80341779636484,61.55213774228108,tvoroyri,fo
-6.802646820386087,61.554026456906,tvoroyri,fo
-6.816083830302148,61.556124893928654,tvoroyri,fo
-6.791554677268209,61.472005242051125,vagur,fo
-6.823868178499538,61.47675301125224,vagur,fo
-6.828041599622964,61.47104896110713,vagur,fo
-6.796059474169965,61.464892611199815,vagur,fo
-6.791554677268209,61.472005242051125,vagur,fo
-7.1482163105205245,62.14724279882006,vestmanna,fo
-7.14659051877473,62.15499975832188,vestmanna,fo
-7.173352274510449,62.15590228186966,vestmanna,fo
-7.176051554398498,62.14845842718137,vestmanna,fo
-7.1482163105205245,62.14724279882006,vestmanna,fo
